,vault_name,vault_type,vault_apy,vault_total_assets
2021-04-19 16:38:28.524182,crvHBTC,v1,6.04%,"$722,694"
2021-04-19 16:38:28.541544,crvPBTC,v1,16.54%,"$3,083,278"
2021-04-19 16:38:28.559173,crvEURS,v1,30.63%,"$16,941,752"
2021-04-19 16:38:28.577667,crvTBTC,v1,6.21%,$0
2021-04-19 16:38:28.606349,crvHUSD,v1,24.49%,"$239,351"
2021-04-19 16:38:28.638732,TUSD,v1,15.69%,"$3,296,058"
2021-04-19 16:38:28.665801,crvBBTC,v1,3.43%,"$2,966,039"
2021-04-19 16:38:28.686629,LINK,v1,0.00%,"$276,963"
2021-04-19 16:38:28.708802,DAI,v1,13.74%,"$13,098,589"
2021-04-19 16:38:28.731381,crvUSDP,v1,39.77%,"$60,243,712"
2021-04-19 16:38:28.756030,crvBUSD,v1,15.96%,"$32,706,071"
2021-04-19 16:38:28.777896,crvANKR,v1,13.09%,"$1,753,900"
2021-04-19 16:38:28.800345,aLINK,v1,0.00%,"$16,493,727"
2021-04-19 16:38:28.825669,YFI,v1,0.00%,"$4,916,892"
2021-04-19 16:38:28.851194,crvRENBTC,v1,0.00%,"$70,596"
2021-04-19 16:38:28.874578,mUSD,v1,44.92%,"$12,033"
2021-04-19 16:38:28.897762,ETH,v1,0.00%,"$13,806,335"
2021-04-20 16:52:32.782333,yveCRV - ETH,v1,53.32%,"$11,219,191"
2021-04-20 16:52:32.795436,yveCRV,v1,22.75%,$0
2021-04-20 16:52:32.805966,USDC,v2,16.37%,"$132,042,086"
2021-04-20 16:52:32.814316,crvIB,v2,26.27%,"$135,079,506"
2021-04-20 16:52:32.820436,HEGIC,v2,0.77%,"$576,689"
2021-04-20 16:52:32.828237,crvHBTC,v2,11.64%,"$9,322,707"
2021-04-20 16:52:32.842053,crvRENBTC,v2,1.87%,"$54,097"
2021-04-20 16:52:32.851267,DAI,v2,12.87%,"$426,448,696"
2021-04-20 16:52:32.862115,1INCH,v2,5.20%,"$638,210"
2021-04-20 16:52:32.870606,WETH,v2,5.36%,"$144,481,025"
2021-04-20 16:52:32.878962,WBTC,v2,5.44%,"$1,162,550"
2021-04-20 16:52:32.887388,crvSETH,v2,14.50%,"$127,240,871"
2021-04-20 16:52:32.896716,crvSTETH,v2,13.37%,"$183,258,679"
2021-04-20 16:52:32.909047,YFI,v2,4.18%,"$221,211,462"
2021-04-20 16:52:32.920639,crvSBTC,v2,3.09%,"$4,925,370"
2021-04-20 16:52:32.931847,ETH,v2,5.36%,"$144,481,025"
2021-04-20 16:52:32.944576,crvMUSD,v1,24.49%,"$2,190,729"
2021-04-20 16:52:32.956488,yCRV,v1,12.30%,"$47,541,368"
2021-04-20 16:52:32.970038,crvGUSD,v1,21.99%,"$37,976,258"
2021-04-20 16:52:32.984845,crvAAVE,v1,25.26%,"$23,023,147"
2021-04-20 16:52:32.998622,USDC,v1,13.75%,"$11,117,222"
2021-04-20 16:52:33.012483,crvSAAVE,v1,20.02%,"$6,323,444"
2021-04-20 16:52:33.028619,crvDUSD,v1,35.09%,"$3,367,637"
2021-04-20 16:52:33.042831,WETH,v1,0.00%,"$14,236,542"
2021-04-20 16:52:33.058103,crvUSDN,v1,29.74%,"$46,925,643"
2021-04-20 16:52:33.074266,crvCOMP,v1,17.65%,"$36,453,503"
2021-04-20 16:52:33.089710,crvUST,v1,36.82%,"$4,684,773"
2021-04-20 16:52:33.106392,crvLINK,v1,19.79%,"$84,010,436"
2021-04-20 16:52:33.122641,3Crv,v1,14.10%,"$89,429,426"
2021-04-20 16:52:33.139385,crvOBTC,v1,17.13%,"$7,079,518"
2021-04-20 16:52:33.159179,crvSBTC,v1,0.00%,"$16,696,116"
2021-04-20 16:52:33.178525,crvSUSD,v1,26.72%,"$32,534,701"
2021-04-20 16:52:33.203311,USDT,v1,12.98%,"$9,609,400"
2021-04-20 16:52:33.248467,crvHBTC,v1,5.98%,"$582,172"
2021-04-20 16:52:33.287675,crvPBTC,v1,15.87%,"$3,173,276"
2021-04-20 16:52:33.326142,crvEURS,v1,30.69%,"$17,492,950"
2021-04-20 16:52:33.371773,crvTBTC,v1,6.21%,$0
2021-04-20 16:52:33.405644,crvHUSD,v1,22.10%,"$246,876"
2021-04-20 16:52:33.460352,TUSD,v1,14.90%,"$3,283,388"
2021-04-20 16:52:33.486457,crvBBTC,v1,2.86%,"$3,005,575"
2021-04-20 16:52:33.507900,LINK,v1,0.00%,"$277,213"
2021-04-20 16:52:33.530404,DAI,v1,13.55%,"$13,147,422"
2021-04-20 16:52:33.554119,crvUSDP,v1,35.84%,"$60,706,846"
2021-04-20 16:52:33.579376,crvBUSD,v1,16.60%,"$32,378,301"
2021-04-20 16:52:33.603505,crvANKR,v1,12.65%,"$1,809,076"
2021-04-20 16:52:33.629121,aLINK,v1,0.00%,"$16,470,771"
2021-04-20 16:52:33.654579,YFI,v1,0.00%,"$4,840,683"
2021-04-20 16:52:33.682793,crvRENBTC,v1,0.00%,"$16,654"
2021-04-20 16:52:33.715992,mUSD,v1,49.20%,"$116,447"
2021-04-20 16:52:33.759337,ETH,v1,0.00%,"$14,236,542"
2021-04-21 12:42:00.141050,yveCRV - ETH,v1,52.99%,"$11,969,932"
2021-04-21 12:42:00.150148,yveCRV,v1,21.41%,$0
2021-04-21 12:42:00.154787,USDC,v2,15.69%,"$134,000,658"
2021-04-21 12:42:00.162708,crvIB,v2,24.75%,"$143,875,371"
2021-04-21 12:42:00.169866,HEGIC,v2,0.77%,"$579,596"
2021-04-21 12:42:00.182597,crvHBTC,v2,11.62%,"$9,702,404"
2021-04-21 12:42:00.192359,crvRENBTC,v2,1.79%,"$54,084"
2021-04-21 12:42:00.199777,DAI,v2,12.21%,"$435,775,268"
2021-04-21 12:42:00.207258,1INCH,v2,5.20%,"$653,831"
2021-04-21 12:42:00.214929,WETH,v2,5.20%,"$153,561,083"
2021-04-21 12:42:00.223025,WBTC,v2,5.44%,"$1,164,802"
2021-04-21 12:42:00.235285,crvSETH,v2,13.51%,"$135,533,067"
2021-04-21 12:42:00.249291,crvSTETH,v2,12.97%,"$195,912,724"
2021-04-21 12:42:00.263107,YFI,v2,3.90%,"$219,694,627"
2021-04-21 12:42:00.273487,crvSBTC,v2,3.08%,"$5,069,465"
2021-04-21 12:42:00.283427,ETH,v2,5.20%,"$153,561,083"
2021-04-21 12:42:00.294565,crvMUSD,v1,21.68%,"$2,314,585"
2021-04-21 12:42:00.306359,yCRV,v1,14.74%,"$45,782,565"
2021-04-21 12:42:00.317970,crvGUSD,v1,22.34%,"$37,032,977"
2021-04-21 12:42:00.329993,crvAAVE,v1,22.92%,"$24,404,759"
2021-04-21 12:42:00.342397,USDC,v1,13.69%,"$11,215,002"
2021-04-21 12:42:00.357127,crvSAAVE,v1,19.61%,"$6,355,319"
2021-04-21 12:42:00.370659,crvDUSD,v1,33.23%,"$3,588,182"
2021-04-21 12:42:00.384208,WETH,v1,0.00%,"$7,423,311"
