,vault_name,vault_apy,vault_total_assets
2021-04-22 17:59:57.327976, BAC,Inactive ,693.40
2021-04-22 17:59:57.347594, ESD,Inactive ,57.54K
2021-04-22 17:59:57.367330, DSD,Inactive ,4.57K
2021-04-22 17:59:57.387194, FARM/USDC,Inactive,90.81K
2021-04-23 18:07:07.142638, WETH,5.18%  ,15.47M
2021-04-23 18:07:07.169127, MEME20-ETH,508.10%  ,122.47K
2021-04-23 18:07:07.194661, GPUNKS20-ETH,529.52%  ,74.70K
2021-04-23 18:07:07.219554, ETH-MVI,48.09%  ,851.20K
2021-04-23 18:07:07.241406, KXUSD-DAI,168.10%  ,246.43K
2021-04-23 18:07:07.262634, FARM,40.01%,69.75M
2021-04-23 18:07:07.306059, USDC,18.32%  ,49.49M
2021-04-23 18:07:07.325931, USDT,15.03%  ,7.22M
2021-04-23 18:07:07.346869, DAI,15.91%  ,13.32M
2021-04-23 18:07:07.371032, CRV:HUSD,14.37%  ,1.79M
2021-04-23 18:07:07.391175, YCRV,21.24%  ,1.87M
2021-04-23 18:07:07.413020, 3CRV,10.40%  ,7.85M
2021-04-23 18:07:07.434030, CRV:COMPOUND,17.75%  ,3.62M
2021-04-23 18:07:07.457282, CRV:BUSD,17.12%  ,5.17M
2021-04-23 18:07:07.480364, CRV:USDN,29.72%  ,11.76M
2021-04-23 18:07:07.504278, CRV:EURS,61.35%  ,518.44K
2021-04-23 18:07:07.526673, CRV:GUSD,23.61%  ,231.37K
2021-04-23 18:07:07.552827, CRV:UST,28.61%  ,292.98K
2021-04-23 18:07:07.577217, CRV:USDP,45.78%  ,249.00K
2021-04-23 18:07:07.622212, SUSHI,107087378....%  ,10.90M
2021-04-23 18:07:07.643026, ETH-DAI,99.07%  ,16.17M
2021-04-23 18:07:07.664879, ETH-USDC,91.54%  ,5.44M
2021-04-23 18:07:07.689554, ETH-USDT,107087436....%  ,5.68M
2021-04-23 18:07:07.713447, ETH-WBTC,55.22%  ,10.52M
2021-04-23 18:07:07.756290, CRV:STETH,10.00%  ,40.72M
2021-04-23 18:07:07.795151, CRV:HBTC,6.20%  ,11.61M
2021-04-23 18:07:07.817260, CRV:OBTC,13.62%  ,9.95M
2021-04-23 18:07:07.838416, CRV:TBTC,2.78%  ,623.01K
2021-04-23 18:07:07.860013, CRV:RENWBTC,1.98%  ,115.83M
2021-04-23 18:07:07.880597, WBTC,1.47%  ,1.71M
2021-04-23 18:07:07.921135, MUSE-ETH,258.80%  ,807.28K
2021-04-23 18:07:07.943358, DUDES20-ETH,433.67%  ,157.17K
2021-04-23 18:07:07.969506, MASK20-ETH,261.85%  ,228.16K
2021-04-23 18:07:07.990464, ROPE20-ETH,413.65%  ,179.91K
2021-04-23 18:07:08.015376, MCAT20-ETH,298.44%  ,193.90K
2021-04-23 18:07:08.060684, 1INCH-ETH,73.95%  ,914.69K
2021-04-23 18:07:08.088479, 1INCH-USDC,103.28%  ,1.43M
2021-04-23 18:07:08.156347, 1INCH-WBTC,77.81%  ,1.24M
2021-04-23 18:07:08.232811, ETH-DAI,99.07%  ,246.08K
2021-04-23 18:07:08.256695, ETH-USDC,91.54%  ,391.61K
2021-04-23 18:07:08.278769, ETH-USDT,107087436....%  ,358.82K
2021-04-23 18:07:08.300148, ETH-WBTC,55.22%  ,9.60M
2021-04-23 18:07:08.338887, ETH-SUSHI,40.16%  ,8.64M
2021-04-23 18:07:08.362321, ETH-DAI,61.53%  ,15.03M
2021-04-23 18:07:08.382817, ETH-USDC,54.53%  ,10.67M
2021-04-23 18:07:08.404664, ETH-USDT,53.21%  ,30.01M
2021-04-23 18:07:08.424775, ETH-WBTC,19.49%  ,14.01M
2021-04-23 18:07:08.445080, ETH-UST,79.69%  ,479.62K
2021-04-23 18:07:08.490134, ETH-DPI,25.39%  ,2.40M
2021-04-23 18:07:08.510282, WBTC-KBTC,55.57%  ,1.69M
2021-04-23 18:07:08.531146, WBTC-KLONX,125.70%  ,229.23K
2021-04-23 18:07:08.553914, FARM/ETH,50.97%,13.34M
2021-04-23 18:07:08.575334, FARM/GRAIN,94.12%,153.15K
2021-04-23 18:07:08.621261, DAI-BAC,16.36%  ,1.20M
2021-04-23 18:07:08.642551, DAI-BASv2,48.97%  ,185.90K
2021-04-23 18:07:08.683781, MAAPL-UST,85.54%  ,416.98K
2021-04-23 18:07:08.705689, MAMZN-UST,84.68%  ,359.28K
2021-04-23 18:07:08.729784, MGOOGL-UST,82.94%  ,387.99K
2021-04-23 18:07:08.756654, MTSLA-UST,81.03%  ,301.91K
2021-04-23 18:07:08.788227, MNFLX-UST,122.14%  ,341.77K
2021-04-23 18:07:08.821561, MTWTR-UST,118.10%  ,399.91K
2021-04-23 18:07:08.872037, CRV:LINK,13.82%  ,2.23M
2021-04-23 18:07:08.911038, TUSD,Inactive ,26.78K
2021-04-23 18:07:08.931856, CRV:AAVE,Inactive ,12.41K
2021-04-23 18:07:08.955694, RENBTC,Inactive ,129.63K
2021-04-23 18:07:08.983079, MIC-USDT,Inactive ,288.56K
2021-04-23 18:07:09.022489, MIS-USDT,Inactive ,77.28K
2021-04-23 18:07:09.053552, WBTC-TBTC,Inactive ,1.02K
2021-04-23 18:07:09.078526, ETH-DAI,Inactive ,15.84K
2021-04-23 18:07:09.102406, ETH-USDC,Inactive ,27.28K
2021-04-23 18:07:09.133487, ETH-USDT,Inactive ,8.99K
2021-04-23 18:07:09.159346, ETH-WBTC,Inactive ,33.40K
2021-04-23 18:07:09.198873, DAI-BSG,Inactive ,13.48K
2021-04-23 18:07:09.222561, DAI-BSGS,Inactive ,12.32K
2021-04-23 18:07:09.261001, BAC,Inactive ,609.04
2021-04-23 18:07:09.284545, ESD,Inactive ,53.62K
2021-04-23 18:07:09.310338, DSD,Inactive ,4.48K
2021-04-23 18:07:09.340750, FARM/USDC,Inactive,81.99K
2021-04-24 16:39:24.565722, WETH,5.18%  ,14.52M
2021-04-24 16:39:24.627517, MEME20-ETH,718.35%  ,81.48K
2021-04-24 16:39:24.658022, GPUNKS20-ETH,516.43%  ,70.03K
2021-04-24 16:39:24.686647, ETH-MVI,37.34%  ,811.65K
2021-04-24 16:39:24.713042, KXUSD-DAI,177.10%  ,252.33K
2021-04-24 16:39:24.739016, FARM,39.55%,66.65M
2021-04-24 16:39:24.791514, USDC,12.43%  ,49.13M
2021-04-24 16:39:24.814980, USDT,12.96%  ,7.07M
2021-04-24 16:39:24.835805, DAI,17.37%  ,13.18M
2021-04-24 16:39:24.855193, CRV:HUSD,12.20%  ,1.79M
2021-04-24 16:39:24.875337, YCRV,23.17%  ,1.87M
2021-04-24 16:39:24.897197, 3CRV,8.76%  ,7.85M
2021-04-24 16:39:24.918844, CRV:COMPOUND,15.81%  ,3.62M
2021-04-24 16:39:24.938882, CRV:BUSD,19.38%  ,5.17M
2021-04-24 16:39:24.959023, CRV:USDN,25.89%  ,11.75M
2021-04-24 16:39:24.979128, CRV:EURS,54.93%  ,517.60K
2021-04-24 16:39:25.001784, CRV:GUSD,21.29%  ,230.89K
2021-04-24 16:39:25.025018, CRV:UST,25.47%  ,290.25K
2021-04-24 16:39:25.048912, CRV:USDP,35.51%  ,345.22K
2021-04-24 16:39:25.089068, SUSHI,11.91%  ,10.25M
2021-04-24 16:39:25.111830, ETH-DAI,85.82%  ,15.65M
2021-04-24 16:39:25.132918, ETH-USDC,91.73%  ,5.33M
2021-04-24 16:39:25.153104, ETH-USDT,80.33%  ,5.47M
2021-04-24 16:39:25.174120, ETH-WBTC,31.87%  ,10.12M
2021-04-24 16:39:25.211508, CRV:STETH,10.23%  ,38.14M
2021-04-24 16:39:25.253930, CRV:HBTC,5.69%  ,11.50M
2021-04-24 16:39:25.275778, CRV:OBTC,13.84%  ,9.80M
2021-04-24 16:39:25.295571, CRV:TBTC,2.61%  ,611.05K
2021-04-24 16:39:25.317015, CRV:RENWBTC,1.74%  ,113.68M
2021-04-24 16:39:25.337592, WBTC,1.56%  ,1.68M
2021-04-24 16:39:25.377222, MUSE-ETH,250.26%  ,609.10K
2021-04-24 16:39:25.398600, DUDES20-ETH,424.94%  ,148.64K
2021-04-24 16:39:25.418500, MASK20-ETH,261.63%  ,212.17K
2021-04-24 16:39:25.439849, ROPE20-ETH,433.68%  ,158.26K
2021-04-24 16:39:25.460113, MCAT20-ETH,322.01%  ,153.85K
2021-04-24 16:39:25.504545, 1INCH-ETH,74.51%  ,870.10K
2021-04-24 16:39:25.541782, 1INCH-USDC,107.44%  ,1.40M
2021-04-24 16:39:25.562987, 1INCH-WBTC,79.04%  ,1.16M
2021-04-24 16:39:25.632716, ETH-DAI,85.82%  ,237.36K
2021-04-24 16:39:25.657987, ETH-USDC,91.73%  ,375.20K
2021-04-24 16:39:25.679705, ETH-USDT,80.33%  ,345.85K
2021-04-24 16:39:25.704249, ETH-WBTC,31.87%  ,9.23M
2021-04-24 16:39:25.742073, ETH-SUSHI,38.59%  ,8.08M
2021-04-24 16:39:25.763877, ETH-DAI,70.45%  ,14.50M
2021-04-24 16:39:25.783834, ETH-USDC,76.92%  ,10.34M
2021-04-24 16:39:25.804802, ETH-USDT,63.56%  ,28.94M
2021-04-24 16:39:25.825892, ETH-WBTC,18.28%  ,13.48M
2021-04-24 16:39:25.847179, ETH-UST,78.91%  ,463.14K
2021-04-24 16:39:25.885625, ETH-DPI,29.13%  ,2.23M
2021-04-24 16:39:25.907552, WBTC-KBTC,66.38%  ,1.12M
2021-04-24 16:39:25.927555, WBTC-KLONX,135.46%  ,215.78K
2021-04-24 16:39:25.947882, FARM/ETH,30.01%,12.50M
2021-04-24 16:39:25.976579, FARM/GRAIN,92.88%,145.36K
2021-04-24 16:39:26.020311, DAI-BAC,18.81%  ,1.16M
2021-04-24 16:39:26.040408, DAI-BASv2,47.12%  ,181.29K
2021-04-24 16:39:26.080777, MAAPL-UST,80.38%  ,415.28K
2021-04-24 16:39:26.100799, MAMZN-UST,80.21%  ,362.22K
2021-04-24 16:39:26.121055, MGOOGL-UST,79.46%  ,380.71K
2021-04-24 16:39:26.140800, MTSLA-UST,67.09%  ,451.56K
2021-04-24 16:39:26.161375, MNFLX-UST,105.22%  ,505.14K
2021-04-24 16:39:26.182914, MTWTR-UST,106.23%  ,399.31K
2021-04-24 16:39:26.220860, CRV:LINK,12.40%  ,2.13M
2021-04-24 16:39:26.261583, TUSD,Inactive ,26.75K
2021-04-24 16:39:26.281689, CRV:AAVE,Inactive ,12.41K
2021-04-24 16:39:26.303547, RENBTC,Inactive ,125.56K
2021-04-24 16:39:26.323859, MIC-USDT,Inactive ,284.38K
2021-04-24 16:39:26.344202, MIS-USDT,Inactive ,71.33K
2021-04-24 16:39:26.365994, WBTC-TBTC,Inactive ,1.00K
2021-04-24 16:39:26.385955, ETH-DAI,Inactive ,15.29K
2021-04-24 16:39:26.405898, ETH-USDC,Inactive ,26.45K
2021-04-24 16:39:26.428178, ETH-USDT,Inactive ,8.68K
2021-04-24 16:39:26.449395, ETH-WBTC,Inactive ,32.12K
2021-04-24 16:39:26.470637, DAI-BSG,Inactive ,14.26K
2021-04-24 16:39:26.490046, DAI-BSGS,Inactive ,11.87K
2021-04-24 16:39:26.510528, BAC,Inactive ,591.67
2021-04-24 16:39:26.532791, ESD,Inactive ,50.41K
2021-04-24 16:39:26.555841, DSD,Inactive ,4.10K
2021-04-24 16:39:26.575847, FARM/USDC,Inactive,79.48K
2021-04-25 14:26:42.754659, WETH,5.10%  ,15.31M
2021-04-25 14:26:42.785381, MEME20-ETH,550.71%  ,117.43K
2021-04-25 14:26:42.816760, GPUNKS20-ETH,510.55%  ,73.33K
2021-04-25 14:26:42.841497, ETH-MVI,34.81%  ,863.20K
2021-04-25 14:26:42.865484, KXUSD-DAI,171.04%  ,250.43K
2021-04-25 14:26:42.886818, FARM,39.84%,68.43M
2021-04-25 14:26:42.924474, USDC,12.09%  ,49.41M
2021-04-25 14:26:42.944284, USDT,12.84%  ,7.08M
2021-04-25 14:26:42.963936, DAI,16.39%  ,13.11M
2021-04-25 14:26:42.984882, CRV:HUSD,12.68%  ,1.80M
2021-04-25 14:26:43.005873, YCRV,18.35%  ,1.78M
2021-04-25 14:26:43.035518, 3CRV,8.63%  ,7.85M
2021-04-25 14:26:43.057590, CRV:COMPOUND,17.00%  ,2.75M
2021-04-25 14:26:43.077961, CRV:BUSD,15.61%  ,5.07M
2021-04-25 14:26:43.097621, CRV:USDN,26.83%  ,11.74M
2021-04-25 14:26:43.117257, CRV:EURS,56.37%  ,563.68K
2021-04-25 14:26:43.138215, CRV:GUSD,22.17%  ,229.52K
2021-04-25 14:26:43.157651, CRV:UST,26.55%  ,290.25K
2021-04-25 14:26:43.177598, CRV:USDP,36.49%  ,345.62K
2021-04-25 14:26:43.214686, SUSHI,8.98%  ,10.87M
2021-04-25 14:26:43.234042, ETH-DAI,56.44%  ,16.13M
2021-04-25 14:26:43.255766, ETH-USDC,51.74%  ,5.51M
2021-04-25 14:26:43.280718, ETH-USDT,55.34%  ,5.59M
2021-04-25 14:26:43.301831, ETH-WBTC,23.53%  ,10.51M
2021-04-25 14:26:43.342675, CRV:STETH,10.12%  ,40.21M
2021-04-25 14:26:43.379875, CRV:HBTC,5.87%  ,11.75M
2021-04-25 14:26:43.399315, CRV:OBTC,14.89%  ,9.42M
2021-04-25 14:26:43.418800, CRV:TBTC,2.70%  ,619.35K
2021-04-25 14:26:43.438314, CRV:RENWBTC,2.16%  ,114.27M
2021-04-25 14:26:43.459434, WBTC,1.57%  ,1.70M
2021-04-25 14:26:43.504528, MUSE-ETH,1.57%  ,...
2021-04-25 14:26:43.524430, DUDES20-ETH,463.33%  ,138.01K
2021-04-25 14:26:43.544525, MASK20-ETH,316.33%  ,138.69K
2021-04-25 14:26:43.564730, ROPE20-ETH,620.09%  ,124.78K
2021-04-25 14:26:43.584484, MCAT20-ETH,323.19%  ,156.13K
2021-04-25 14:26:43.622073, 1INCH-ETH,69.86%  ,905.74K
2021-04-25 14:26:43.642071, 1INCH-USDC,97.89%  ,1.42M
2021-04-25 14:26:43.668849, 1INCH-WBTC,76.12%  ,1.19M
2021-04-25 14:26:43.705985, ETH-DAI,56.44%  ,243.81K
2021-04-25 14:26:43.725185, ETH-USDC,51.74%  ,384.14K
2021-04-25 14:26:43.748340, ETH-USDT,55.34%  ,317.08K
2021-04-25 14:26:43.777691, ETH-WBTC,23.53%  ,9.34M
2021-04-25 14:26:43.825013, ETH-SUSHI,29.36%  ,8.53M
2021-04-25 14:26:43.847199, ETH-DAI,43.88%  ,14.90M
2021-04-25 14:26:43.886716, ETH-USDC,39.82%  ,10.63M
2021-04-25 14:26:43.915068, ETH-USDT,41.34%  ,29.76M
2021-04-25 14:26:43.936248, ETH-WBTC,12.89%  ,13.94M
2021-04-25 14:26:43.957673, ETH-UST,83.20%  ,374.68K
2021-04-25 14:26:44.009441, ETH-DPI,29.40%  ,2.40M
2021-04-25 14:26:44.036602, WBTC-KBTC,62.61%  ,1.08M
2021-04-25 14:26:44.060057, WBTC-KLONX,62.61%  ,...
2021-04-25 14:26:44.084056, FARM/ETH,29.79%,13.05M
2021-04-25 14:26:44.110000, FARM/GRAIN,92.16%,151.14K
2021-04-25 14:26:44.156922, DAI-BAC,19.38%  ,1.16M
2021-04-25 14:26:44.183961, DAI-BASv2,41.59%  ,213.52K
2021-04-25 14:26:44.235591, MAAPL-UST,79.05%  ,469.81K
2021-04-25 14:26:44.264189, MAMZN-UST,82.68%  ,354.89K
2021-04-25 14:26:44.288522, MGOOGL-UST,81.76%  ,378.82K
2021-04-25 14:26:44.314173, MTSLA-UST,70.68%  ,398.07K
2021-04-25 14:26:44.336549, MNFLX-UST,107.89%  ,504.66K
2021-04-25 14:26:44.360638, MTWTR-UST,108.24%  ,410.20K
2021-04-25 14:26:44.407211, CRV:LINK,12.21%  ,2.11M
2021-04-25 14:26:44.457066, TUSD,Inactive ,26.78K
2021-04-25 14:26:44.486340, CRV:AAVE,Inactive ,12.41K
2021-04-25 14:26:44.507967, RENBTC,Inactive ,125.23K
2021-04-25 14:26:44.529376, MIC-USDT,Inactive ,284.48K
2021-04-25 14:26:44.550212, MIS-USDT,Inactive ,70.38K
2021-04-25 14:26:44.571753, WBTC-TBTC,Inactive ,1.01K
2021-04-25 14:26:44.593638, ETH-DAI,Inactive ,15.71K
2021-04-25 14:26:44.613826, ETH-USDC,Inactive ,27.18K
2021-04-25 14:26:44.634148, ETH-USDT,Inactive ,8.62K
2021-04-25 14:26:44.654388, ETH-WBTC,Inactive ,33.21K
2021-04-25 14:26:44.676637, DAI-BSG,Inactive ,14.26K
2021-04-25 14:26:44.701995, DAI-BSGS,Inactive ,11.43K
2021-04-25 14:26:44.723010, BAC,Inactive ,680.55
2021-04-25 14:26:44.744096, ESD,Inactive ,64.55K
2021-04-25 14:26:44.765941, DSD,Inactive ,4.29K
2021-04-25 14:26:44.785342, FARM/USDC,Inactive,80.84K
2021-04-26 17:08:27.532264, WETH,5.66%  ,15.20M
2021-04-26 17:08:27.559267, MEME20-ETH,738.70%  ,105.34K
2021-04-26 17:08:27.584667, GPUNKS20-ETH,614.02%  ,73.41K
2021-04-26 17:08:27.605534, ETH-MVI,34.70%  ,917.29K
2021-04-26 17:08:27.630146, KXUSD-DAI,160.82%  ,230.57K
2021-04-26 17:08:27.655144, FARM,39.80%,76.39M
2021-04-26 17:08:27.694499, USDC,13.99%  ,46.14M
2021-04-26 17:08:27.715054, USDT,20.37%  ,3.85M
2021-04-26 17:08:27.735307, DAI,18.68%  ,13.62M
2021-04-26 17:08:27.757051, CRV:HUSD,13.98%  ,1.78M
2021-04-26 17:08:27.777405, YCRV,16.66%  ,1.78M
2021-04-26 17:08:27.798974, 3CRV,9.20%  ,7.85M
2021-04-26 17:08:27.819748, CRV:COMPOUND,17.82%  ,2.78M
2021-04-26 17:08:27.839932, CRV:BUSD,13.27%  ,5.07M
2021-04-26 17:08:27.863654, CRV:USDN,32.83%  ,11.29M
2021-04-26 17:08:27.893680, CRV:EURS,58.60%  ,575.17K
2021-04-26 17:08:27.915032, CRV:GUSD,24.52%  ,231.57K
2021-04-26 17:08:27.935453, CRV:UST,25.94%  ,289.77K
2021-04-26 17:08:27.955630, CRV:USDP,33.77%  ,529.48K
2021-04-26 17:08:27.996051, SUSHI,11.80%  ,10.35M
2021-04-26 17:08:28.023473, ETH-DAI,55.25%  ,16.59M
2021-04-26 17:08:28.044413, ETH-USDC,51.90%  ,6.75M
2021-04-26 17:08:28.064697, ETH-USDT,54.54%  ,5.82M
2021-04-26 17:08:28.084250, ETH-WBTC,27.85%  ,11.38M
2021-04-26 17:08:28.135992, CRV:STETH,10.11%  ,43.54M
2021-04-26 17:08:28.175448, CRV:HBTC,5.83%  ,12.50M
2021-04-26 17:08:28.196816, CRV:OBTC,14.28%  ,9.92M
2021-04-26 17:08:28.220077, CRV:TBTC,2.73%  ,665.39K
2021-04-26 17:08:28.242913, CRV:RENWBTC,2.02%  ,118.57M
2021-04-26 17:08:28.263508, WBTC,1.64%  ,1.82M
2021-04-26 17:08:28.303304, MUSE-ETH,253.45%  ,744.93K
2021-04-26 17:08:28.324670, DUDES20-ETH,540.62%  ,145.13K
2021-04-26 17:08:28.344201, MASK20-ETH,350.26%  ,142.84K
2021-04-26 17:08:28.364088, ROPE20-ETH,721.79%  ,134.44K
2021-04-26 17:08:28.387376, MCAT20-ETH,325.74%  ,186.14K
2021-04-26 17:08:28.434107, 1INCH-ETH,69.29%  ,998.51K
2021-04-26 17:08:28.454394, 1INCH-USDC,101.05%  ,1.44M
2021-04-26 17:08:28.477435, 1INCH-WBTC,76.64%  ,1.30M
2021-04-26 17:08:28.518485, ETH-DAI,55.25%  ,253.98K
2021-04-26 17:08:28.541383, ETH-USDC,51.90%  ,392.09K
2021-04-26 17:08:28.562480, ETH-USDT,54.54%  ,330.28K
2021-04-26 17:08:28.583279, ETH-WBTC,27.85%  ,10.08M
2021-04-26 17:08:28.665160, ETH-SUSHI,33.85%  ,9.18M
2021-04-26 17:08:28.696822, ETH-DAI,40.29%  ,15.53M
2021-04-26 17:08:28.733533, ETH-USDC,37.53%  ,11.06M
2021-04-26 17:08:28.757613, ETH-USDT,37.94%  ,31.02M
2021-04-26 17:08:28.777515, ETH-WBTC,14.09%  ,14.98M
2021-04-26 17:08:28.803097, ETH-UST,87.40%  ,390.49K
2021-04-26 17:08:28.841979, ETH-DPI,29.12%  ,2.61M
2021-04-26 17:08:28.863221, WBTC-KBTC,56.73%  ,1.15M
2021-04-26 17:08:28.885757, WBTC-KLONX,94.36%  ,212.43K
2021-04-26 17:08:28.905595, FARM/ETH,29.98%,14.28M
2021-04-26 17:08:28.931400, FARM/GRAIN,108.69%,147.85K
2021-04-26 17:08:28.969651, DAI-BAC,20.52%  ,1.19M
2021-04-26 17:08:28.989924, DAI-BASv2,50.92%  ,195.67K
2021-04-26 17:08:29.030625, MAAPL-UST,86.79%  ,480.43K
2021-04-26 17:08:29.054193, MAMZN-UST,94.40%  ,307.83K
2021-04-26 17:08:29.074745, MGOOGL-UST,92.66%  ,336.06K
2021-04-26 17:08:29.097852, MTSLA-UST,77.02%  ,405.34K
2021-04-26 17:08:29.118244, MNFLX-UST,118.90%  ,500.53K
2021-04-26 17:08:29.138172, MTWTR-UST,119.34%  ,406.67K
2021-04-26 17:08:29.179384, CRV:LINK,12.63%  ,2.25M
2021-04-26 17:08:29.218390, TUSD,Inactive ,26.73K
2021-04-26 17:08:29.238699, CRV:AAVE,Inactive ,12.41K
2021-04-26 17:08:29.259171, RENBTC,Inactive ,134.66K
2021-04-26 17:08:29.281901, MIC-USDT,Inactive ,284.97K
2021-04-26 17:08:29.302303, MIS-USDT,Inactive ,78.29K
2021-04-26 17:08:29.321837, WBTC-TBTC,Inactive ,1.09K
2021-04-26 17:08:29.343375, ETH-DAI,Inactive ,16.38K
2021-04-26 17:08:29.367709, ETH-USDC,Inactive ,28.09K
2021-04-26 17:08:29.388276, ETH-USDT,Inactive ,8.99K
2021-04-26 17:08:29.409606, ETH-WBTC,Inactive ,35.85K
2021-04-26 17:08:29.432451, DAI-BSG,Inactive ,11.19K
2021-04-26 17:08:29.452272, DAI-BSGS,Inactive ,11.19K
2021-04-26 17:08:29.472418, BAC,Inactive ,725.04
2021-04-26 17:08:29.492384, ESD,Inactive ,60.52K
2021-04-26 17:08:29.517371, DSD,Inactive ,4.66K
2021-04-26 17:08:29.542910, FARM/USDC,Inactive,84.25K
2021-04-27 17:58:05.307435, WETH,5.08%  ,15.97M
2021-04-27 17:58:05.350880, ETH-PERP,5.95%  ,269.25
2021-04-27 17:58:05.396324, ETH-MVI,34.09%  ,977.57K
2021-04-27 17:58:05.441677, KXUSD-DAI,176.03%  ,189.57K
2021-04-27 17:58:05.476460, FARM,39.76%,71.06M
2021-04-27 17:58:05.537471, USDC,14.76%  ,46.38M
2021-04-27 17:58:05.565500, USDT,19.74%  ,3.90M
2021-04-27 17:58:05.599698, DAI,19.41%  ,13.63M
2021-04-27 17:58:05.628043, CRV:HUSD,15.84%  ,1.79M
2021-04-27 17:58:05.667820, YCRV,18.06%  ,1.78M
2021-04-27 17:58:05.703690, 3CRV,10.31%  ,7.85M
2021-04-27 17:58:05.734167, CRV:COMPOUND,18.62%  ,2.78M
2021-04-27 17:58:05.766081, CRV:BUSD,16.14%  ,5.07M
2021-04-27 17:58:05.796734, CRV:USDN,37.39%  ,10.37M
2021-04-27 17:58:05.836694, CRV:EURS,63.04%  ,559.74K
2021-04-27 17:58:05.868408, CRV:GUSD,25.21%  ,257.41K
2021-04-27 17:58:05.903958, CRV:UST,28.32%  ,293.34K
2021-04-27 17:58:05.938362, CRV:USDP,36.87%  ,521.13K
2021-04-27 17:58:06.002985, SUSHI,9.02%  ,12.14M
2021-04-27 17:58:06.043301, ETH-DAI,54.88%  ,16.98M
2021-04-27 17:58:06.081107, ETH-USDC,52.32%  ,6.93M
2021-04-27 17:58:06.113228, ETH-USDT,54.31%  ,5.96M
2021-04-27 17:58:06.150741, ETH-WBTC,26.43%  ,12.32M
2021-04-27 17:58:06.197023, CRV:STETH,11.20%  ,45.89M
2021-04-27 17:58:06.258170, CRV:HBTC,6.31%  ,12.75M
2021-04-27 17:58:06.301071, CRV:OBTC,14.29%  ,10.16M
2021-04-27 17:58:06.333721, CRV:TBTC,3.09%  ,680.72K
2021-04-27 17:58:06.363367, CRV:RENWBTC,2.36%  ,120.89M
2021-04-27 17:58:06.401711, WBTC,1.55%  ,1.86M
2021-04-27 17:58:06.464311, MUSE-ETH,241.30%  ,711.90K
2021-04-27 17:58:06.499997, DUDES20-ETH,562.60%  ,132.12K
2021-04-27 17:58:06.526843, MASK20-ETH,300.67%  ,154.79K
2021-04-27 17:58:06.554530, ROPE20-ETH,571.11%  ,144.08K
2021-04-27 17:58:06.585434, MCAT20-ETH,320.97%  ,145.12K
2021-04-27 17:58:06.621005, MEME20-ETH,588.71%  ,114.37K
2021-04-27 17:58:06.650728, GPUNKS20-ETH,511.39%  ,70.56K
2021-04-27 17:58:06.702406, 1INCH-ETH,70.06%  ,1.01M
2021-04-27 17:58:06.738371, 1INCH-USDC,103.12%  ,1.53M
2021-04-27 17:58:06.770532, 1INCH-WBTC,76.81%  ,1.38M
2021-04-27 17:58:06.859307, ETH-DAI,54.88%  ,260.57K
2021-04-27 17:58:06.899732, ETH-USDC,52.32%  ,384.30K
2021-04-27 17:58:06.938804, ETH-USDT,54.31%  ,338.83K
2021-04-27 17:58:06.979000, ETH-WBTC,26.43%  ,10.46M
2021-04-27 17:58:07.044574, ETH-SUSHI,25.89%  ,10.48M
2021-04-27 17:58:07.101896, ETH-DAI,42.04%  ,15.95M
2021-04-27 17:58:07.129777, ETH-USDC,40.35%  ,11.38M
2021-04-27 17:58:07.163368, ETH-USDT,40.31%  ,31.84M
2021-04-27 17:58:07.199762, ETH-WBTC,15.37%  ,15.53M
2021-04-27 17:58:07.226537, ETH-UST,73.21%  ,404.42K
2021-04-27 17:58:07.280598, ETH-DPI,22.43%  ,3.34M
2021-04-27 17:58:07.312578, WBTC-KBTC,57.56%  ,1.07M
2021-04-27 17:58:07.342345, WBTC-KLONX,95.50%  ,117.72K
2021-04-27 17:58:07.377670, FARM/ETH,31.58%,14.19M
2021-04-27 17:58:07.415132, FARM/GRAIN,111.35%,135.57K
2021-04-27 17:58:07.477127, DAI-BAC,9.05%  ,1.25M
2021-04-27 17:58:07.515629, DAI-BASv2,36.55%  ,191.29K
2021-04-27 17:58:07.575394, MAAPL-UST,87.44%  ,488.16K
2021-04-27 17:58:07.606026, MAMZN-UST,90.96%  ,315.42K
2021-04-27 17:58:07.642669, MGOOGL-UST,92.01%  ,337.59K
2021-04-27 17:58:07.677331, MTSLA-UST,77.73%  ,402.72K
2021-04-27 17:58:07.713152, MNFLX-UST,119.42%  ,523.86K
2021-04-27 17:58:07.741793, MTWTR-UST,118.58%  ,411.38K
2021-04-27 17:58:07.836630, CRV:LINK,12.84%  ,2.39M
2021-04-27 17:58:07.903142, TUSD,Inactive ,24.59K
2021-04-27 17:58:07.929627, CRV:AAVE,Inactive ,12.41K
2021-04-27 17:58:07.967401, RENBTC,Inactive ,137.30K
2021-04-27 17:58:07.998383, MIC-USDT,Inactive ,284.77K
2021-04-27 17:58:08.038750, MIS-USDT,Inactive ,71.62K
2021-04-27 17:58:08.076690, WBTC-TBTC,Inactive ,1.12K
2021-04-27 17:58:08.109739, ETH-DAI,Inactive ,16.81K
2021-04-27 17:58:08.149998, ETH-USDC,Inactive ,28.91K
2021-04-27 17:58:08.182662, ETH-USDT,Inactive ,9.23K
2021-04-27 17:58:08.220604, ETH-WBTC,Inactive ,37.21K
2021-04-27 17:58:08.252676, DAI-BSG,Inactive ,11.19K
